Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
3.12 188.011 22.602 0.0002698582165410472
3.13 186.843 21.366 0.00023405495034122263
3.14 180.778 18.450 0.00016730939642110626
3.15 178.832 13.896 9.904241401458347e-005
3.16 171.353 7.743 4.877076913478987e-005
3.17 --undefined-- 1.506 2.378547675688827e-005
3.18 --undefined-- 0.889 2.2155884811252838e-005
3.19 --undefined-- 1.875 2.4818243695089938e-005
3.20 --undefined-- 2.147 2.5607515024151565e-005
3.21 --undefined-- 2.084 2.5422091798502754e-005
3.22 --undefined-- 1.386 2.3459290032928186e-005
3.23 --undefined-- 0.626 2.1495352754924087e-005
3.24 --undefined-- 0.168 2.039019466885878e-005
3.25 --undefined-- -0.550 1.877222552402172e-005
3.26 --undefined-- -1.821 1.6217074442012183e-005
3.27 --undefined-- -4.323 1.2157850566775984e-005
3.28 --undefined-- -6.273 9.713686960644895e-006
3.29 --undefined-- -6.874 9.064456567343606e-006
3.30 --undefined-- -7.945 8.012847631539357e-006
3.31 --undefined-- -8.795 7.26573967244414e-006
3.32 --undefined-- -8.211 7.771181737282798e-006
3.33 --undefined-- -6.768 9.175141149480082e-006
3.34 --undefined-- -4.804 1.1503761341304813e-005
3.35 --undefined-- -4.355 1.2113631039708871e-005
3.36 --undefined-- -6.574 9.383110901874882e-006
3.37 --undefined-- -9.089 7.024118519198569e-006
3.38 --undefined-- -8.385 7.616711424221146e-006
3.39 --undefined-- -7.620 8.318661444664405e-006
3.40 --undefined-- -7.838 8.112241309778745e-006
3.41 --undefined-- -8.388 7.614449216255415e-006
3.42 --undefined-- -8.727 7.323229751778931e-006
3.43 --undefined-- -8.762 7.293433925424366e-006
3.44 --undefined-- -8.821 7.244157499663613e-006
3.45 --undefined-- -9.437 6.747707068392268e-006
3.46 --undefined-- -10.177 6.1966731406394555e-006
3.47 --undefined-- -9.571 6.6443953993613275e-006
3.48 --undefined-- -8.319 7.675271700110322e-006
3.49 --undefined-- -7.618 8.320593943472025e-006
3.50 --undefined-- -7.742 8.201806317180404e-006
3.51 --undefined-- -7.373 8.558108188563372e-006
3.52 --undefined-- -6.280 9.706098542495719e-006
3.53 --undefined-- -5.699 1.0376744938226826e-005
3.54 --undefined-- -6.241 9.748968199842294e-006
3.55 --undefined-- -6.448 9.52024917394257e-006
3.56 --undefined-- -5.716 1.0356894369407725e-005
3.57 --undefined-- -5.878 1.016549363111903e-005
3.58 --undefined-- -6.388 9.586103299903482e-006
3.59 --undefined-- -5.070 1.1156534988257965e-005
3.60 --undefined-- -2.884 1.434979042065005e-005
3.61 --undefined-- -2.019 1.585166911934862e-005
3.62 --undefined-- -2.858 1.4392237092633916e-005
3.63 --undefined-- -2.346 1.5266155057277408e-005
3.64 --undefined-- -0.453 1.8983182557808596e-005
3.65 --undefined-- -0.512 1.8854407548319907e-005
3.66 --undefined-- -1.743 1.6363701589492763e-005
3.67 --undefined-- -1.145 1.753025705537662e-005
3.68 --undefined-- --undefined-- --undefined--
3.69 --undefined-- --undefined-- --undefined--
3.70 --undefined-- --undefined-- --undefined--
3.71 --undefined-- --undefined-- --undefined--
Here are the results for channel 2 (oral): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.02 --undefined-- --undefined-- --undefined--
0.03 --undefined-- --undefined-- --undefined--
0.04 --undefined-- --undefined-- --undefined--
0.05 --undefined-- -10.845 5.738353432205539e-006
0.06 --undefined-- -10.010 6.317230701071163e-006
0.07 --undefined-- -8.907 7.17280259006331e-006
0.08 --undefined-- -9.158 6.968083629972035e-006
0.09 --undefined-- -10.427 6.021104078324851e-006
0.10 --undefined-- -11.305 5.441968284546541e-006
0.11 --undefined-- -11.717 5.190112838656325e-006
0.12 --undefined-- -11.890 5.087664110639978e-006
0.13 --undefined-- -11.745 5.173548436170653e-006
0.14 --undefined-- -11.661 5.223750923374648e-006
0.15 --undefined-- -11.118 5.560853097531462e-006
0.16 --undefined-- -9.704 6.543930908461842e-006
0.17 --undefined-- -9.045 7.0594541210713065e-006
0.18 --undefined-- -9.949 6.361873029756838e-006
0.19 --undefined-- -11.388 5.390532646295216e-006
0.20 --undefined-- -11.382 5.39422088549175e-006
0.21 --undefined-- -10.455 6.002067559872028e-006
0.22 --undefined-- -9.429 6.754581286730708e-006
0.23 --undefined-- -8.072 7.896183489363305e-006
0.24 --undefined-- -7.574 8.362397284892598e-006
0.25 --undefined-- -8.593 7.4367896729144385e-006
0.26 --undefined-- -9.241 6.902089301149423e-006
0.27 --undefined-- -9.701 6.546392509096883e-006
0.28 --undefined-- -9.789 6.47991769827259e-006
0.29 --undefined-- -9.352 6.814766917060646e-006
0.30 --undefined-- -9.277 6.873363708043455e-006
0.31 --undefined-- -9.366 6.803491338346912e-006
0.32 --undefined-- -9.916 6.386164434497143e-006
0.33 --undefined-- -10.560 5.929546032704752e-006
0.34 --undefined-- -10.635 5.878802522929988e-006
0.35 --undefined-- -11.013 5.628237049816242e-006
0.36 --undefined-- -11.412 5.3755655568517855e-006
0.37 --undefined-- -11.453 5.350414277051607e-006
0.38 --undefined-- -10.513 5.961655754461984e-006
0.39 --undefined-- -9.497 6.701708096104955e-006
0.40 --undefined-- -9.525 6.679881701882612e-006
0.41 --undefined-- -10.113 6.243101429533121e-006
0.42 --undefined-- -9.838 6.443449425968259e-006
0.43 --undefined-- -9.194 6.939573824543034e-006
0.44 --undefined-- -8.895 7.182979460913701e-006
0.45 --undefined-- -7.744 8.200354409248611e-006
0.46 --undefined-- -4.178 1.2363433154950562e-005
0.47 --undefined-- -2.006 1.58757702225092e-005
0.48 --undefined-- -3.324 1.3640657756077874e-005
0.49 --undefined-- -5.539 1.0569930880321968e-005
0.50 --undefined-- -5.231 1.0952283149772944e-005
0.51 --undefined-- -6.656 9.29508768479089e-006
0.52 --undefined-- -8.414 7.591648905931208e-006
0.53 --undefined-- -5.390 1.0753251489889218e-005
0.54 --undefined-- -3.413 1.3501080603919415e-005
0.55 --undefined-- -4.705 1.1634977872951166e-005
0.56 --undefined-- -7.976 7.983794665748352e-006
0.57 --undefined-- -9.570 6.645303376498455e-006
0.58 --undefined-- -10.401 6.039523019023066e-006
0.59 --undefined-- -11.173 5.525522157578812e-006
0.60 --undefined-- -11.453 5.3503253076726135e-006
0.61 --undefined-- -11.285 5.454924833753208e-006
0.62 --undefined-- -10.046 6.291092002055406e-006
0.63 --undefined-- -0.617 1.8627859485070686e-005
0.64 --undefined-- 13.907 9.917339032389484e-005
0.65 --undefined-- 23.699 0.00030619051596504935
0.66 --undefined-- 31.285 0.0007332873877663612
0.67 --undefined-- 38.420 0.001667300444503746
0.68 --undefined-- 43.662 0.003048938693356649
0.69 --undefined-- 46.880 0.004415757052543564
0.70 192.653 48.629 0.005400797034059377
0.71 193.416 48.805 0.005511516486590974
0.72 194.858 47.004 0.004479648331535549
0.73 197.056 42.953 0.0028098972682193963
0.74 191.520 36.482 0.0013338780075140102
0.75 --undefined-- 27.286 0.0004627102225995805
0.76 --undefined-- 14.907 0.00011126876601185785
0.77 --undefined-- 1.743 2.4445470121841396e-005
0.78 --undefined-- 11.591 7.59561592290652e-005
0.79 --undefined-- 27.675 0.000483921249396298
0.80 --undefined-- 37.676 0.001530525477161904
0.81 --undefined-- 43.263 0.002911965633626161
0.82 204.619 45.958 0.0039712641483374105
0.83 200.202 47.013 0.004484139754932307
0.84 198.054 46.854 0.004402907032388833
0.85 195.661 45.006 0.003559068181709856
0.86 193.236 40.644 0.00215391167537308
0.87 --undefined-- 32.765 0.0008695024437430625
0.88 --undefined-- 20.017 0.00020039002477137093
0.89 --undefined-- 3.699 3.061794413458182e-005
0.90 --undefined-- 1.529 2.3850033712828607e-005
0.91 --undefined-- 13.543 9.509834924587457e-005
0.92 --undefined-- 26.057 0.0004016841540028172
0.93 --undefined-- 36.922 0.0014031966530611076
0.94 --undefined-- 43.409 0.0029613496465601295
0.95 185.918 46.081 0.0040278079290355625
0.96 191.014 46.065 0.004020524845693616
0.97 191.732 44.654 0.0034175820541578693
0.98 190.668 42.164 0.0025658720344000773
0.99 182.003 37.878 0.0015665116347186477
1.00 174.122 31.198 0.00072599746196937035
1.01 --undefined-- 21.999 0.00025174307515024027
1.02 --undefined-- 13.458 9.416877424630303e-005
1.03 --undefined-- 13.098 9.03463686870862e-005
1.04 --undefined-- 14.746 0.00010922808044621473
1.05 --undefined-- 15.131 0.0001141819890166556
1.06 --undefined-- 12.237 8.182193859907042e-005
1.07 --undefined-- 4.782 3.46841682062692e-005
1.08 --undefined-- -7.456 8.476678752675638e-006
1.09 --undefined-- -12.507 4.739192709161269e-006
1.10 --undefined-- -10.856 5.730750939988428e-006
1.11 --undefined-- 7.953 4.996909631019151e-005
1.12 --undefined-- 27.889 0.0004960104544589892
1.13 --undefined-- 40.046 0.0020105860122868026
1.14 192.028 46.944 0.0044488411681392285
1.15 192.481 50.015 0.006335641180341219
1.16 191.752 50.466 0.006673276288578458
1.17 189.165 49.771 0.006159649461381978
1.18 187.806 49.076 0.005686257299270233
1.19 187.406 48.420 0.005272960846938472
1.20 186.219 47.099 0.0045289400308273315
1.21 182.535 44.103 0.0032077508852129673
1.22 176.850 38.474 0.001677764053095873
1.23 --undefined-- 29.463 0.000594548077592376
1.24 --undefined-- 16.463 0.00013309771361667773
1.25 --undefined-- -0.497 1.888690244212109e-005
1.26 --undefined-- -8.294 7.697521962405173e-006
1.27 --undefined-- -3.703 1.3058411041570146e-005
1.28 --undefined-- 4.872 3.5043360339056014e-005
1.29 --undefined-- 9.770 6.159360113718153e-005
1.30 --undefined-- 12.324 8.264432100162524e-005
1.31 --undefined-- 20.316 0.0002074124217443111
1.32 --undefined-- 31.370 0.0007404906046851638
1.33 --undefined-- 38.216 0.0016285912301026739
1.34 177.314 41.186 0.0022926334522314065
1.35 179.810 41.024 0.0022501814296640283
1.36 177.206 38.378 0.001659400147159218
1.37 173.709 33.837 0.0009837728633913141
1.38 167.543 28.021 0.0005036008957682146
1.39 --undefined-- 21.474 0.00023699353448120424
1.40 --undefined-- 14.008 0.00010032786529379677
1.41 --undefined-- 5.967 3.9751841838932487e-005
1.42 --undefined-- 6.009 3.994826559011148e-005
1.43 --undefined-- 13.534 9.500076131734713e-005
1.44 --undefined-- 23.599 0.0003026628095780535
1.45 --undefined-- 32.419 0.0008355765788123586
1.46 --undefined-- 37.153 0.0014411225954213235
