Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
0.23 --undefined-- -11.032 5.616339252388386e-006
0.24 --undefined-- -11.027 5.619556312595589e-006
0.25 --undefined-- -9.810 6.464764747800696e-006
0.26 --undefined-- -8.519 7.500671333780375e-006
0.27 --undefined-- -8.565 7.4603673472069225e-006
0.28 --undefined-- -9.231 6.910353128703259e-006
0.29 --undefined-- -8.511 7.507218275012236e-006
0.30 --undefined-- -7.179 8.751536721026458e-006
0.31 --undefined-- -7.113 8.818520705553173e-006
0.32 --undefined-- -8.740 7.312002981738129e-006
0.33 --undefined-- -9.767 6.496532818778699e-006
0.34 --undefined-- -9.690 6.554263515167783e-006
0.35 --undefined-- -10.191 6.186753078229438e-006
0.36 --undefined-- -10.796 5.770693900769147e-006
0.37 --undefined-- -10.547 5.93830488356487e-006
0.38 --undefined-- -4.997 1.125091845441144e-005
0.39 --undefined-- 5.520 3.7761913569710536e-005
0.40 --undefined-- 13.187 9.128056702527696e-005
0.41 199.070 18.912 0.00017645117326761705
0.42 192.422 26.160 0.000406479185310928
0.43 189.775 32.343 0.0008282902871287708
0.44 185.956 35.600 0.0012050898097846377
0.45 187.361 36.797 0.0013831237199250007
0.46 184.899 37.234 0.001454620334070431
0.47 181.266 37.547 0.0015078866383789647
0.48 179.639 37.900 0.0015705432817925426
0.49 180.021 38.429 0.0016691240964484158
0.50 181.499 39.172 0.0018181765634506257
0.51 182.362 39.467 0.001880937102943999
0.52 180.460 37.974 0.0015838487418418025
0.53 178.178 33.720 0.0009705375616083657
0.54 191.040 27.702 0.0004854460522108565
0.55 192.748 25.387 0.00037186375785788837
0.56 192.218 26.011 0.00039954220839077574
0.57 191.815 31.454 0.0007477007585326425
0.58 200.196 37.952 0.0015798987883895368
0.59 195.977 41.417 0.0023543090256206794
0.60 195.367 42.392 0.0026339658811464182
0.61 194.986 42.249 0.0025910869346959745
0.62 194.183 42.007 0.0025198931848017924
0.63 193.280 41.865 0.0024790704413876776
0.64 192.043 41.618 0.002409576206855191
0.65 190.567 40.609 0.002145179811046776
0.66 189.320 37.803 0.0015530445483046991
0.67 188.127 32.314 0.00082548703298558
0.68 190.276 24.871 0.0003504276656132198
0.69 187.983 21.705 0.00024338098324468152
0.70 186.026 24.737 0.000345034459736278
0.71 186.160 32.367 0.0008305846703842378
0.72 184.524 37.890 0.0015687246294644806
0.73 183.984 40.510 0.002121052120519061
0.74 182.939 41.217 0.0023008795260082665
