Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
2.08 --undefined-- 9.216 5.778654171513819e-005
2.09 --undefined-- 11.640 7.638777030205412e-005
2.10 --undefined-- 23.244 0.00029055388568633784
2.11 --undefined-- 31.861 0.0007835618322996515
2.12 --undefined-- 36.630 0.001356908949901819
2.13 84.729 38.907 0.0017635227283746518
2.14 84.259 39.518 0.0018921251809510767
2.15 82.662 38.955 0.0017733508503114703
2.16 82.349 37.619 0.0015204991648182808
2.17 83.456 34.991 0.0011235278307929085
2.18 --undefined-- 30.800 0.0006934947440480197
2.19 --undefined-- 27.427 0.00047030655046534034
2.20 --undefined-- 24.662 0.00034208539251989696
2.21 --undefined-- 21.157 0.0002284947585616386
2.22 --undefined-- 23.223 0.00028987046964210007
2.23 --undefined-- 24.448 0.000333739578082326
2.24 --undefined-- 25.237 0.00036549511176475226
2.25 --undefined-- 26.162 0.00040655860664657917
2.26 --undefined-- 25.161 0.00036229881079085264
2.27 --undefined-- 25.787 0.0003893684411913959
2.28 --undefined-- 26.595 0.0004273324153359541
2.29 --undefined-- 26.177 0.00040727505047529166
2.30 --undefined-- 26.027 0.00040027930414368677
2.31 --undefined-- 25.492 0.0003763808244723236
2.32 --undefined-- 25.183 0.00036323941634429407
2.33 --undefined-- 24.822 0.0003484371947587281
2.34 --undefined-- 25.138 0.000361338196653136
2.35 --undefined-- 25.333 0.0003695383363034158
2.36 --undefined-- 25.827 0.0003911736188553566
2.37 --undefined-- 25.536 0.00037828047158446776
2.38 --undefined-- 23.926 0.0003142963378368234
2.39 --undefined-- 25.208 0.00036426580051208876
2.40 88.456 26.368 0.0004163091718654668
2.41 89.922 25.771 0.0003886799291354645
2.42 90.996 24.342 0.0003297172615378392
2.43 90.156 22.340 0.0002618383090718551
2.44 86.820 19.415 0.00018698092946526162
2.45 --undefined-- 15.533 0.00011958128197431422
2.46 --undefined-- 11.046 7.13371253877045e-005
2.47 --undefined-- 6.475 4.215061972551484e-005
2.48 --undefined-- 2.530 2.6762684254826582e-005
2.49 --undefined-- -0.292 1.933853682882124e-005
2.50 --undefined-- -2.063 1.5772558760457022e-005
2.51 --undefined-- -3.428 1.3478625855726006e-005
2.52 --undefined-- -4.179 1.2361102026202249e-005
2.53 --undefined-- -4.629 1.1737293030098568e-005
2.54 --undefined-- -5.720 1.0352614209643004e-005
2.55 --undefined-- -6.537 9.423117917060317e-006
2.56 --undefined-- -6.928 9.007591806296667e-006
2.57 --undefined-- -7.344 8.586297431380768e-006
2.58 --undefined-- -7.715 8.227336435911747e-006
2.59 --undefined-- -8.271 7.717482920579655e-006
2.60 --undefined-- -9.474 6.71951593658208e-006
2.61 --undefined-- -10.681 5.8478267173452985e-006
2.62 --undefined-- -10.884 5.7126394909924076e-006
2.63 --undefined-- -10.249 6.145660968778238e-006
2.64 --undefined-- -9.587 6.6321818555915514e-006
2.65 --undefined-- -10.084 6.263524555502976e-006
2.66 --undefined-- -11.012 5.6287766942000384e-006
2.67 --undefined-- -10.315 6.0994388174231515e-006
2.68 --undefined-- -9.449 6.738783403575676e-006
2.69 --undefined-- -9.158 6.967991389932868e-006
2.70 --undefined-- -9.368 6.802234068415206e-006
2.71 --undefined-- -10.357 6.0697679072208414e-006
2.72 --undefined-- -11.326 5.4290866091626696e-006
2.73 --undefined-- -11.457 5.347970171404109e-006
2.74 --undefined-- -10.881 5.714800319503226e-006
2.75 --undefined-- -9.458 6.731565715402836e-006
2.76 --undefined-- -8.234 7.7504599812144e-006
2.77 --undefined-- -7.889 8.064185285688444e-006
2.78 --undefined-- -7.687 8.254305009505602e-006
2.79 --undefined-- -7.492 8.441246810344895e-006
2.80 --undefined-- -8.507 7.510423196176711e-006
2.81 --undefined-- -9.941 6.367552968358588e-006
2.82 --undefined-- -10.907 5.6973257044127e-006
2.83 --undefined-- -12.151 4.9370789658680076e-006
2.84 --undefined-- -13.545 4.205274511974684e-006
2.85 --undefined-- -12.893 4.532927624504072e-006
2.86 --undefined-- -11.179 5.5218813871528996e-006
2.87 --undefined-- -10.716 5.8242070656797e-006
2.88 --undefined-- -10.572 5.921247157963164e-006
2.89 --undefined-- -9.728 6.525408275288716e-006
2.90 --undefined-- -9.043 7.061275312108003e-006
2.91 --undefined-- -9.252 6.893062541153045e-006
2.92 --undefined-- -9.735 6.520307569963356e-006
2.93 --undefined-- -9.833 6.4476253003187535e-006
2.94 --undefined-- -10.275 6.127150912726635e-006
2.95 --undefined-- -10.543 5.94116817115168e-006
2.96 --undefined-- -10.138 6.224932640106896e-006
2.97 --undefined-- -10.187 6.1899800818386025e-006
2.98 --undefined-- -10.831 5.747597651968277e-006
2.99 --undefined-- -10.314 6.1002966816037735e-006
