Here are the results for Channel 1 (nasal): time - pitch(Hz) - Amplitude(dB) - RMSqIntensity(Pa)
0.01 --undefined-- --undefined-- --undefined--
2.28 --undefined-- 36.625 0.0013560723824431599
2.29 --undefined-- 37.569 0.001511773402704154
2.30 --undefined-- 39.212 0.001826502208050959
2.31 --undefined-- 40.401 0.002094440751379986
2.32 --undefined-- 38.803 0.0017424895685475268
2.33 --undefined-- 33.579 0.0009549935602236853
2.34 --undefined-- 26.478 0.00042161315388147824
2.35 --undefined-- 26.064 0.0004020146206384624
2.36 --undefined-- 27.561 0.0004776405865399281
2.37 --undefined-- 26.986 0.00044702413025504885
2.38 --undefined-- 25.669 0.000384147812404708
2.39 --undefined-- 25.096 0.0003595946782306132
2.40 --undefined-- 24.324 0.0003290368998709469
2.41 --undefined-- 25.749 0.0003876699272612774
2.42 --undefined-- 26.847 0.00043994438957356964
2.43 --undefined-- 25.537 0.00037831680748767163
2.44 --undefined-- 26.092 0.0004032965720527277
2.45 --undefined-- 27.994 0.0005020448922206837
2.46 --undefined-- 26.888 0.0004420324084941202
2.47 --undefined-- 22.480 0.0002660859883109629
2.48 --undefined-- 18.247 0.00016343916893604476
2.49 --undefined-- 19.461 0.00018797422288302878
2.50 --undefined-- 21.631 0.0002413120382752612
2.51 --undefined-- 21.190 0.00022935755059083702
2.52 --undefined-- 17.802 0.00015527629052508298
2.53 --undefined-- 14.959 0.00011194330167801012
2.54 --undefined-- 19.430 0.00018729659357614976
2.55 --undefined-- 28.169 0.0005122654056387705
2.56 --undefined-- 32.818 0.0008748682688996005
2.57 --undefined-- 33.003 0.0008937204208269909
2.58 --undefined-- 29.129 0.0005721012293406731
2.59 --undefined-- 23.120 0.0002864372589970365
2.60 --undefined-- 19.230 0.0001830304375213799
2.61 --undefined-- 17.388 0.0001480604239103621
2.62 --undefined-- 17.156 0.0001441495726691458
2.63 --undefined-- 16.763 0.00013777454674432303
2.64 --undefined-- 16.827 0.0001388011033215013
2.65 --undefined-- 17.476 0.0001495602758974736
2.66 --undefined-- 17.251 0.0001457414792687677
2.67 --undefined-- 16.323 0.00013097084872712686
2.68 --undefined-- 15.265 0.00011595330784722877
2.69 --undefined-- 14.258 0.00010325965524525326
