Here	are	the	results	for	Channel	1	(nasal):	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
1.52	--undefined--	52.997	0.008930842		1.52	--undefined--	41.651	0.00241881		0.213117581				
1.53	--undefined--	49.643	0.006070173		1.53	--undefined--	41.814	0.002464386		0.288753775				
1.54	--undefined--	47.35	0.004661582		1.54	--undefined--	41.995	0.002516274		0.350560671				
1.55	--undefined--	46.663	0.004307026		1.55	--undefined--	42.085	0.002542666		0.371208834				
1.56	--undefined--	45.246	0.003658709		1.56	--undefined--	40.951	0.002231313		0.378829273				
1.57	--undefined--	42.534	0.002677524		1.57	--undefined--	38.908	0.001763695		0.397119585				
1.58	--undefined--	40.163	0.002037978		1.58	--undefined--	37.59	0.001515358		0.426460552				
1.59	--undefined--	39.698	0.001931613		1.59	--undefined--	37.573	0.001512531		0.439160267				
1.6	--undefined--	39.572	0.001903861		1.6	--undefined--	38.213	0.001628109		0.460963354				
1.61	--undefined--	38.795	0.00174101		1.61	--undefined--	38.78	0.001737847		0.499545337				
1.62	--undefined--	38.145	0.0016154		1.62	--undefined--	38.458	0.001674606		0.50899787				
1.63	--undefined--	38.529	0.001688423		1.63	--undefined--	37.67	0.001529396		0.475289724				
1.64	--undefined--	39.014	0.001785474		1.64	--undefined--	37.374	0.001478205		0.452925918				
1.65	--undefined--	38.823	0.001746573		1.65	--undefined--	38	0.001588644		0.476324122				
1.66	--undefined--	38.327	0.001649661		1.66	--undefined--	38.291	0.001642774		0.498954001				
1.67	--undefined--	38.063	0.001600143		1.67	--undefined--	37.923	0.001574652		0.495985387				
1.68	--undefined--	37.801	0.00155272		1.68	--undefined--	37.331	0.001470917		0.486472743				
1.69	--undefined--	38.538	0.001690139		1.69	--undefined--	37.008	0.001417139		0.45607093				
1.7	--undefined--	49.001	0.005637177		1.7	--undefined--	40.203	0.002047186		0.26640934				
1.71	--undefined--	59.105	0.018042563		1.71	--undefined--	48.155	0.005114247		0.220852837				
1.72	--undefined--	69.086	0.056925936		1.72	--undefined--	57.582	0.015139611		0.210081122				
1.73	--undefined--	77.941	0.157789108		1.73	--undefined--	66.31	0.041354253		0.207660715				
1.74	164.607	83.051	0.28418383		1.74	165.275	71.395	0.074264377		0.207183007				
1.75	167.949	84.772	0.346445903		1.75	168.356	73.101	0.090381173		0.20690378				
1.76	167.085	83.526	0.300149498		1.76	167.976	71.787	0.077694535		0.205625941				
1.77	157.618	79.46	0.187951315		1.77	156.349	67.505	0.04745245		0.201578978				
1.78	147.042	72.501	0.084351491		1.78	--undefined--	60.268	0.020627073		0.196488429				
1.79	--undefined--	62.169	0.025674465		1.79	--undefined--	50.569	0.006752651		0.208240865				
1.8	--undefined--	48.586	0.005374272		1.8	--undefined--	42.854	0.002777994		0.340763399				
1.81	--undefined--	41.322	0.002328789		1.81	--undefined--	39.866	0.001969467		0.458201351				
1.82	--undefined--	43.648	0.003043971		1.82	--undefined--	39.059	0.001794656		0.370901951				
1.83	--undefined--	52.035	0.007993846		1.83	--undefined--	42.713	0.00273319		0.254794519				
1.84	--undefined--	58.589	0.017000875		1.84	--undefined--	48.213	0.005148662		0.232450087				
1.85	--undefined--	60.996	0.022430289		1.85	--undefined--	50.757	0.006900436		0.235263064				
1.86	--undefined--	60.336	0.020787955		1.86	--undefined--	49.802	0.006182105		0.229221043				
1.87	--undefined--	61.546	0.023897109		1.87	--undefined--	49.382	0.005890151		0.197740606				
1.88	--undefined--	69.006	0.056407019		1.88	--undefined--	57.263	0.014594284		0.205549522				
1.89	--undefined--	75.976	0.125839537		1.89	--undefined--	64.219	0.032508389		0.205297219				
1.9	151.783	80.041	0.200953137		1.9	151.429	68.046	0.050506525		0.200853388				
1.91	153.155	81.65	0.241845899		1.91	153.221	69.476	0.059540109		0.197554324				
1.92	149.854	81.121	0.227546391		1.92	149.537	68.971	0.056182671		0.198015216				
1.93	145.153	78.528	0.168818591		1.93	144.301	66.692	0.043212773		0.203803683				
1.94	138.401	73.772	0.097640611		1.94	137.997	62.544	0.026806125		0.215402394				
1.95	--undefined--	66.964	0.044588492		1.95	--undefined--	56.48	0.01333664		0.230239266				
1.96	--undefined--	60.301	0.020704225		1.96	--undefined--	49.869	0.006230196		0.231309824				
1.97	--undefined--	55.293	0.011632743		1.97	--undefined--	44.602	0.003397103		0.226023823				
1.98	--undefined--	51.792	0.007773525		1.98	--undefined--	41.898	0.002488507		0.242496494				
1.99	--undefined--	50.374	0.00660309		1.99	--undefined--	41.128	0.002277292		0.256440747				
2	--undefined--	49.009	0.005642483		2	--undefined--	40.238	0.002055514		0.267019321				
2.01	--undefined--	46.983	0.004468553		2.01	--undefined--	39.235	0.001831452		0.290706403				
2.02	--undefined--	44.521	0.003365675		2.02	--undefined--	38.732	0.001728442		0.339301599				
2.03	--undefined--	42.855	0.002778235		2.03	--undefined--	38.461	0.001675296		0.376172519				
2.04	--undefined--	41.885	0.00248465		2.04	--undefined--	38.078	0.00160296		0.392150867				
2.05	--undefined--	41.698	0.00243193		2.05	--undefined--	37.409	0.001484243		0.379003396				
2.06	--undefined--	47.521	0.004754093		2.06	--undefined--	39.198	0.001823552		0.277234769				
2.07	--undefined--	53.061	0.008996868		2.07	--undefined--	42.96	0.002812163		0.238136676				
2.08	--undefined--	55.845	0.012395833		2.08	--undefined--	44.967	0.003543195		0.222296782				
2.09	--undefined--	59.18	0.018197357		2.09	--undefined--	47.859	0.004943081		0.213612252				
2.1	--undefined--	67.296	0.04632577		2.1	--undefined--	56.045	0.012685357		0.214965504				
2.11	--undefined--	73.612	0.095857662		2.11	--undefined--	62.318	0.026117147		0.214119185				
2.12	154.727	76.563	0.134636392		2.12	--undefined--	65.306	0.036842375		0.214850946				
2.13	143.776	77.355	0.147499366		2.13	142.923	66.56	0.042562996		0.223942267				
2.14	139.753	77.408	0.14840378		2.14	140.124	67.391	0.046833373		0.239879409				
2.15	138.176	77.13	0.143716246		2.15	138.54	67.609	0.048028109		0.250479912				
2.16	138.09	76.689	0.136613896		2.16	138.107	67.28	0.046243641		0.252894367				
2.17	138.717	76.337	0.131178368		2.17	138.645	66.935	0.044442722		0.253060279				
2.18	138.388	75.971	0.125767047		2.18	138.448	66.64	0.042957932		0.254603272				
2.19	138.602	75.609	0.120633278		2.19	138.547	66.376	0.041670976		0.256746048				
2.2	137.44	75.152	0.114451038		2.2	137.784	66.044	0.040106939		0.259494463				
2.21	136.325	74.733	0.109069163		2.21	136.563	65.616	0.038178314		0.259279921				
2.22	136.641	74.813	0.110076957		2.22	136.515	65.569	0.037974028		0.256492912				
2.23	136.558	75.062	0.113277446		2.23	136.507	65.899	0.039442126		0.258265037				
